Element_ID,Wall_Element_ID,Building_Level,Orientation,Glass_Area_m2,Window_Width_m,Window_Height_m,Azimuth_degrees,Annual_Radiation_kWh_m2,PV_Suitable,BIPV_Technology,BIPV_Efficiency_%,BIPV_Transparency_%,BIPV_Power_Density_W_m2,System_Capacity_kW,Annual_Generation_kWh,Cost_per_m2_EUR,Total_System_Cost_EUR,Payback_Period_Years,Solution_Number,Solution_Status
# Project: TU Berlin Building H - PhD final calculations.
# Electricity Rate Used: 0.315 EUR/kWh

383797,342320,2,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
383798,342320,2,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
383799,342320,2,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383800,342320,2,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383801,342320,2,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383802,342320,2,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383803,342320,2,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383804,342320,2,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383805,342320,2,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383875,342320,2,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
383876,342320,2,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
383877,342320,2,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383878,342320,2,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383879,342320,2,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383880,342320,2,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383881,342320,2,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383882,342320,2,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383883,342320,2,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383884,342320,1,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
383885,342320,1,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
383886,342320,1,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383887,342320,1,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383888,342320,1,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383889,342320,1,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383890,342320,1,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383891,342320,1,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383892,342320,1,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383893,342319,0,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
383894,342319,0,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
383895,342319,0,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383896,342319,0,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383897,342319,0,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383898,342319,0,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383899,342319,0,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383900,342319,0,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
383901,342319,0,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
