Element_ID,Wall_Element_ID,Building_Level,Orientation,Glass_Area_m2,Window_Width_m,Window_Height_m,Azimuth_degrees,Annual_Radiation_kWh_m2,PV_Suitable,BIPV_Technology,BIPV_Efficiency_%,BIPV_Transparency_%,BIPV_Power_Density_W_m2,System_Capacity_kW,Annual_Generation_kWh,Cost_per_m2_EUR,Total_System_Cost_EUR,Payback_Period_Years,Solution_Number,Solution_Status
# Project: TU Berlin Building H - PhD final calculations.
# Electricity Rate Used: 0.315 EUR/kWh

350910,342319,8,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350911,342319,8,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350912,342319,8,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
350913,342319,8,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
350914,342319,8,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350915,342319,8,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350916,342319,8,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350917,342319,8,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350918,342319,8,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350919,342319,8,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350920,342319,8,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
354772,352360,3,North,820.24,35.08,23.38,354.1,233.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,59.26,15637.0,298.0,244021.0,49.5,Solution_567,OPTIMAL_SOLUTION
354939,342603,1,North,1351.44,45.02,30.02,354.1,252.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,97.64,25764.0,297.0,402053.0,49.5,Solution_567,OPTIMAL_SOLUTION
354944,352360,2,North,820.24,35.08,23.38,354.1,252.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,59.26,15637.0,298.0,244021.0,49.5,Solution_567,OPTIMAL_SOLUTION
354949,352360,4,North,820.24,35.08,23.38,354.1,233.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,59.26,15637.0,298.0,244021.0,49.5,Solution_567,OPTIMAL_SOLUTION
354954,352360,5,North,820.24,35.08,23.38,354.1,252.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,59.26,15637.0,298.0,244021.0,49.5,Solution_567,OPTIMAL_SOLUTION
354959,352360,6,North,820.24,35.08,23.38,354.1,252.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,59.26,15637.0,298.0,244021.0,49.5,Solution_567,OPTIMAL_SOLUTION
354964,352360,7,North,820.24,35.08,23.38,354.1,252.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,59.26,15637.0,298.0,244021.0,49.5,Solution_567,OPTIMAL_SOLUTION
