element_id,orientation,glass_area_m2,annual_radiation_kwh_m2,capacity_kw,annual_energy_kwh,specific_yield_kwh_kw,power_density_w_m2,total_cost_eur,cost_per_kw_eur,panel_efficiency_%,panel_transparency_%,panel_cost_per_m2_eur
367277,West (225-315°),23.39,1500,4.00,4799.63,1200.00,171.00,8420.40,2105.26,0.19,0.15,400.00
367278,West (225-315°),23.39,1500,4.00,4799.63,1200.00,171.00,8420.40,2105.26,0.19,0.15,400.00
367279,West (225-315°),23.39,1500,4.00,4799.63,1200.00,171.00,8420.40,2105.26,0.19,0.15,400.00
367280,West (225-315°),23.39,1500,4.00,4799.63,1200.00,171.00,8420.40,2105.26,0.19,0.15,400.00
367274,West (225-315°),23.39,1500,4.00,4799.63,1200.00,171.00,8420.40,2105.26,0.19,0.15,400.00
367275,West (225-315°),23.39,1500,4.00,4799.63,1200.00,171.00,8420.40,2105.26,0.19,0.15,400.00
367276,West (225-315°),23.39,1500,4.00,4799.63,1200.00,171.00,8420.40,2105.26,0.19,0.15,400.00
367281,West (225-315°),23.39,1500,4.00,4799.63,1200.00,171.00,8420.40,2105.26,0.19,0.15,400.00
369332,East (45-135°),1.51,1500,0.26,309.85,1200.00,171.00,543.60,2105.26,0.19,0.15,400.00
369333,East (45-135°),1.51,1500,0.26,309.85,1200.00,171.00,543.60,2105.26,0.19,0.15,400.00
369460,East (45-135°),1.51,1500,0.26,309.85,1200.00,171.00,543.60,2105.26,0.19,0.15,400.00
369461,East (45-135°),1.51,1500,0.26,309.85,1200.00,171.00,543.60,2105.26,0.19,0.15,400.00
369471,East (45-135°),1.51,1500,0.26,309.85,1200.00,171.00,543.60,2105.26,0.19,0.15,400.00
369472,East (45-135°),1.51,1500,0.26,309.85,1200.00,171.00,543.60,2105.26,0.19,0.15,400.00
369482,East (45-135°),1.51,1500,0.26,309.85,1200.00,171.00,543.60,2105.26,0.19,0.15,400.00
369483,East (45-135°),1.51,1500,0.26,309.85,1200.00,171.00,543.60,2105.26,0.19,0.15,400.00
366884,West (225-315°),23.39,1500,4.00,4799.63,1200.00,171.00,8420.40,2105.26,0.19,0.15,400.00
366593,West (225-315°),23.39,1500,4.00,4799.63,1200.00,171.00,8420.40,2105.26,0.19,0.15,400.00
366594,West (225-315°),23.39,1500,4.00,4799.63,1200.00,171.00,8420.40,2105.26,0.19,0.15,400.00
366345,East (45-135°),23.39,1500,4.00,4799.63,1200.00,171.00,8420.40,2105.26,0.19,0.15,400.00
366379,West (225-315°),23.39,1500,4.00,4799.63,1200.00,171.00,8420.40,2105.26,0.19,0.15,400.00
366386,West (225-315°),23.39,1500,4.00,4799.63,1200.00,171.00,8420.40,2105.26,0.19,0.15,400.00
366595,West (225-315°),23.39,1500,4.00,4799.63,1200.00,171.00,8420.40,2105.26,0.19,0.15,400.00
350544,South (135-225°),10.68,1500,1.83,2191.54,1200.00,171.00,3844.80,2105.26,0.19,0.15,400.00
366874,West (225-315°),23.39,1500,4.00,4799.63,1200.00,171.00,8420.40,2105.26,0.19,0.15,400.00
